ランキング,タイトル,総合得点(点),評価件数(件),お気に入り人数(人),評価,物語,作画,声優,音楽,キャラ,ジャンル,放送時期,制作会社,声優陣
461,超時空要塞マクロス 愛・おぼえていますか（アニメ映画）,78.9,437,1983,4.0,4.0,4.1,3.7,4.3,3.9,アニメ映画,1984年7月21日,タツノコプロ,飯島真理、長谷有洋、土井美加、羽佐間道夫、小原乃梨子、神谷明
462,To LOVEる－とらぶる－ダークネス（TVアニメ動画）,78.8,1192,7244,3.9,3.5,4.0,4.0,3.6,4.1,TVアニメ動画,2012年秋アニメ,ジーベック,豊崎愛生、福圓美里、渡辺明乃、戸松遥、矢作紗友里、伊藤かな恵、花澤香菜、名塚佳織、柚木涼香、新井里美、能登麻美子、櫻井浩美
463,BANANA FISH（TVアニメ動画）,78.8,462,2024,3.8,3.8,3.7,3.8,3.7,3.8,TVアニメ動画,2018年夏アニメ,MAPPA,内田雄馬、野島健児、平田広明、石塚運昇、古川慎、細谷佳正、川田紳司、福山潤、森川智之、千葉翔也、斉藤壮馬、上田燿司、小形満、村瀬歩
464,モブサイコ100 II（TVアニメ動画）,78.8,380,1808,3.9,4.0,4.1,3.9,3.8,4.0,TVアニメ動画,2019年冬アニメ,ボンズ,伊藤節生、櫻井孝宏、大塚明夫、入野自由、松岡禎丞、佐武宇綺、藤村歩、細谷佳正、國立幸、松井恵理子、楠大典、丹沢晃之、M・A・O、石田彰
465,幸福路のチー（アニメ映画）,78.8,10,46,4.3,4.6,4.1,4.2,4.2,4.3,アニメ映画,2019年11月29日,onhappinessroad.net/,グイ・ルンメイ、チャン・ボージョン、リャオ・フェイジェン、ウェイ・ダーション《日本語吹き替え》安野希世乃、高森奈津美、LiLiCo、沖浦啓之
466,イヴの時間 劇場版（アニメ映画）,78.7,1379,7419,3.9,4.1,4.0,3.8,3.8,3.9,アニメ映画,2010年3月6日,timeofeve.com/,福山潤、野島健児、田中理恵、佐藤利奈、ゆかな、中尾みち雄、伊藤美紀、清川元夢、沢城みゆき、杉田智和、水谷優子、山口由里子、石塚運昇、榎本温子
467,めぞん一刻（TVアニメ動画）,78.7,568,2352,4.2,4.4,4.0,4.3,4.2,4.4,TVアニメ動画,1986年春アニメ,スタジオディーン,島本須美、二又一成、千葉繁、三田ゆう子、青木和代、矢田稔、坂本千夏、神谷明、冨永みーな、渕崎ゆり子、鶴ひろみ、古川登志夫、田中秀幸
468,荒ぶる季節の乙女どもよ。（TVアニメ動画）,78.7,539,1962,3.8,3.8,3.7,3.8,3.7,3.8,TVアニメ動画,2019年夏アニメ,レイ・デュース,河野ひより、安済知佳、麻倉もも、黒沢ともよ、上坂すみれ、土屋神葉、福山潤、広瀬裕也、咲野俊介、戸松遥、花江夏樹
469,コードギアス 復活のルルーシュ（アニメ映画）,78.7,272,1709,4.1,3.9,4.1,4.2,3.9,4.1,アニメ映画,2019年2月9日,サンライズ,ゆかな、櫻井孝宏、名塚佳織、村瀬歩、島﨑信長、高木渉
470,あかね色に染まる坂（TVアニメ動画）,78.6,1792,10154,3.5,3.4,3.5,3.8,3.3,3.7,TVアニメ動画,2008年秋アニメ,ティー・エヌ・ケー,羽多野渉、釘宮理恵、平野綾、井上麻里奈、加藤英美里、広橋涼、田中理恵、葉月絵理乃、福原香織、石田彰、小山力也、コング桑田、田中敦子
471,ウィッチクラフトワークス（TVアニメ動画）,78.6,1413,8482,3.7,3.5,3.8,3.7,3.7,3.8,TVアニメ動画,2014年冬アニメ,J.C.STAFF,小林裕介、瀬戸麻沙美、茅野愛衣、川澄綾子、釘宮理恵、井澤詩織、夏川椎菜、麻倉もも、日岡なつみ、飯田友子、大原さやか、大地葉、阿澄佳奈、又吉愛、白石真梨、黒田友佳、平野綾
