ランキング,タイトル,総合得点(点),評価件数(件),お気に入り人数(人),評価,物語,作画,声優,音楽,キャラ,ジャンル,放送時期,制作会社,声優陣
596,HELLSING OVA（OVA）,76.3,667,3550,4.2,4.1,4.3,4.2,3.9,4.3,OVA,2006年2月10日,www.geneon-ent.co.jp/rondorobe/anime/hellsing/,
597,ヲタクに恋は難しい（TVアニメ動画）,76.3,590,2944,3.5,3.5,3.5,3.6,3.5,3.6,TVアニメ動画,2018年春アニメ,A-1 Pictures,伊達朱里紗、伊東健人、沢城みゆき、杉田智和、梶裕貴、悠木碧
598,ハクメイとミコチ（TVアニメ動画）,76.3,380,1461,3.8,3.7,3.9,3.7,3.7,3.8,TVアニメ動画,2018年冬アニメ,ラルケ,松田利冴、下地紫野、悠木碧、安済知佳、松風雅也
599,ガールズ＆パンツァー 最終章 第2話（アニメ映画）,76.3,118,686,4.1,3.9,4.2,4.0,4.0,4.1,アニメ映画,2019年6月15日,アクタス,渕上舞、茅野愛衣、尾崎真実、中上育実、井口裕香、福圓美里、高橋美佳子、植田佳奈、菊地美香、吉岡麻耶、桐村まり、中村桜、仙台エリ、森谷里美、井上優佳、大橋歩夕、竹内仁美、中里望、小松未可子、多田このみ、山岡ゆり、秋奈、井澤詩織、山本希望、葉山いくみ、椎名へきる、原由実、津田美波、安済知佳、石上美帆
600,この中に1人、妹がいる！　（TVアニメ動画）,76.2,1589,9782,3.4,3.2,3.5,3.5,3.3,3.5,TVアニメ動画,2012年夏アニメ,Studio五組,櫻井孝宏、石原夏織、佐倉綾音、竹達彩奈、大亀あすか、日高里菜
601,薄桜鬼（TVアニメ動画）,76.2,972,5327,4.0,3.9,4.0,4.1,3.8,4.1,TVアニメ動画,2010年春アニメ,スタジオディーン,桑島法子、三木眞一郎、森久保祥太郎、鳥海浩輔、吉野裕行、遊佐浩二、大川透、飛田展男、坪井智浩、小林範雄、鈴木貴征、大羽武士、千々和竜策、佐藤広太、石川綾乃、勝田晶子、津田健次郎、山口りゅう、吉田裕秋、伊藤葉純、齋藤龍吾
602,91Days（ナイティーワンデイズ）（TVアニメ動画）,76.3,766,3715,3.7,3.8,3.6,3.7,3.6,3.7,TVアニメ動画,2016年夏アニメ,朱夏,近藤隆、江口拓也、小野大輔、斉藤壮馬、津田健次郎、西山宏太朗、中村悠一、櫻井孝宏、山路和弘
603,『Re：ゼロから始める異世界生活』第1期新編集版（TVアニメ動画）,76.0,222,1116,3.9,3.9,3.9,4.0,3.9,3.9,TVアニメ動画,2020年冬アニメ,WHITE FOX,小林裕介、高橋李依、内山夕実、水瀬いのり、村川梨衣、新井里美、子安武人、赤﨑千夏、中村悠一、井口裕香、堀江由衣、堀内賢雄、植田佳奈、江口拓也、田村ゆかり、藤原啓治、能登麻美子、松岡禎丞
604,あしたのジョー2（TVアニメ動画）,76.2,136,738,4.1,4.3,4.0,4.1,3.9,4.3,TVアニメ動画,1980年秋アニメ,www.moviesquare.jp/tmo/catalog.aspx?c=ashit,あおい輝彦、藤岡重慶、田中エミ、森脇恵、だるま二郎、仲村秀生、白石冬美、堀絢子、渡部猛、小宮山清、中尾隆聖、宮村義人
605,劇場版 Free！-Road to the World-夢（アニメ映画）,76.2,17,114,4.3,4.2,4.4,4.3,4.3,4.3,アニメ映画,2019年7月5日,京都アニメーション / アニメーションDo,島﨑信長、鈴木達央、宮野真守、内山昂輝、豊永利行、代永翼、平川大輔、木村良平、細谷佳正、野島健児、日野聡
606,ちっちゃな雪使い シュガー　特別編（TVアニメ動画）,76.2,10,52,4.3,4.2,4.3,4.4,4.3,4.4,TVアニメ動画,2003年夏アニメ,,
607,グリザイアの迷宮 & グリザイアの楽園（TVアニメ動画）,76.1,1175,7233,3.9,4.0,3.9,3.8,3.8,4.0,TVアニメ動画,2015年春アニメ,エイトビット,櫻井孝宏、田中涼子、田口宏子、水橋かおり、たみやすともえ、清水愛、鳴海エリカ、友永朱音、瑞沢渓
608,それでも町は廻っている（TVアニメ動画）,76.1,1316,6915,3.8,3.8,3.6,3.7,3.7,4.0,TVアニメ動画,2010年秋アニメ,シャフト,小見川千明、悠木碧、櫻井孝宏、入野自由、矢澤りえか、白石涼子、杉田智和、ゆきのさつき、田村睦心、仙台エリ、松来未祐、黒田崇矢、金光宣明、桜井敏治、中博史、千葉繁
609,テニスの王子様（TVアニメ動画）,76.1,874,5509,3.8,3.8,3.6,3.8,3.5,4.0,TVアニメ動画,2001年秋アニメ,トランス・アーツ,皆川純子、置鮎龍太郎、近藤孝行、津田健次郎、川本成、高橋広樹、甲斐田ゆき、小野坂昌也、喜安浩平、松山鷹志、高橋美佳子、尾小平志津香、山崎樹範、中川玲、渡辺慶、緒乃冬華、郷田ほづみ、並木のり子
610,シティーハンター（TVアニメ動画）,76.1,326,2069,4.0,4.0,3.6,4.0,4.1,4.1,TVアニメ動画,1987年春アニメ,サンライズ,神谷明、伊倉一恵、田中秀幸、玄田哲章、一龍斎春水、鷹森淑乃、冨永みーな
611,ケムリクサ（TVアニメ動画）,76.1,476,1615,3.6,3.8,3.3,3.6,3.7,3.6,TVアニメ動画,2019年冬アニメ,ヤオヨロズ,小松未可子、清都ありさ、鷲見友美ジェナ、野島健児
612,本好きの下剋上～司書になるためには手段を選んでいられません～第二部（TVアニメ動画）,76.0,298,1132,3.7,3.9,3.5,3.8,3.6,3.8,TVアニメ動画,2020年春アニメ,亜細亜堂,井口裕香、速水奨、田村睦心、子安武人、中島愛、小山剛志、折笠富美子、日野聡、前野智昭、内田彩、中博史、三瓶由布子、狩野翔、都丸ちよ、鈴木みのり、安野希世乃
613,コードギアス 反逆のルルーシュⅢ 皇道（アニメ映画）,76.1,112,916,4.0,4.0,4.0,4.1,3.9,4.1,アニメ映画,2018年5月26日,サンライズ,福山潤、櫻井孝宏、ゆかな、小清水亜美、名塚佳織、折笠富美子、大原さやか、杉山紀彰、千葉紗子、若本規夫、井上倫宏、白鳥哲、井上喜久子、皆川純子、南央美、梁田清之、幸野善之、成田剣、渡辺明乃、中田譲治、真殿光昭、檜山修之
614,銀魂 THE FINAL（アニメ映画）,76.1,17,143,4.1,4.1,4.1,4.3,4.0,4.2,アニメ映画,2021年1月8日,BN Pictures,杉田智和、阪口大助、釘宮理恵、石田彰、子安武人、千葉進歩、中井和哉、鈴村健一、山寺宏一
615,K（TVアニメ動画）,76.0,1487,8464,3.7,3.4,3.9,3.8,3.6,3.7,TVアニメ動画,2012年秋アニメ,GoHands,浪川大輔、杉田智和、小松未可子、津田健次郎、小野大輔、宮野真守、沢城みゆき、堀江由衣、櫻井孝宏、福山潤、中村悠一、佐藤聡美、梶裕貴、柿原徹也、飯塚昭三
616,いなり、こんこん、恋いろは。（TVアニメ動画）,76.0,1326,7098,3.7,3.6,3.8,3.7,3.6,3.8,TVアニメ動画,2014年冬アニメ,プロダクションアイムズ,大空直美、桑島法子、岡本寛志、上田燿司、池辺久美子、佐土原かおり、野水伊織、原紗友里、子安武人、三上枝織、磯辺万沙子、日野聡、花江夏樹
617,食戟のソーマ 弐の皿（TVアニメ動画）,76.0,629,3637,3.8,3.8,3.9,3.8,3.6,3.9,TVアニメ動画,2016年夏アニメ,J.C.STAFF,松岡禎丞、種田梨沙、高橋未奈美、諏訪部順一、岡本信彦、花江夏樹、大西沙織、赤﨑千夏、安元洋貴
618,巌窟王 -がんくつおう（TVアニメ動画）,76.0,580,3254,3.9,4.0,4.0,3.9,3.9,3.9,TVアニメ動画,2004年秋アニメ,www.gankutsuou.com/,
619,頭文字D [イニシャルディー]（TVアニメ動画）,76.0,458,2551,3.9,4.1,3.5,3.8,4.1,3.9,TVアニメ動画,1998年春アニメ,ぎゃろっぷ / スタジオコメット,三木眞一郎、石塚運昇、岩田光央、川澄綾子、西村知道、矢尾一樹、高木渉、子安武人、関智一、檜山修之、藤原啓治
620,ハイキュー！！ TO THE TOP(第2クール)（TVアニメ動画）,76.0,158,626,3.9,4.0,3.7,3.9,3.7,4.0,TVアニメ動画,2020年秋アニメ,プロダクションI.G,村瀬歩、石川界人、日野聡、入野自由、林勇、細谷佳正、岡本信彦、内山昂輝、斉藤壮馬、増田俊樹、名塚佳織、諸星すみれ、神谷浩史、江川央生、宮野真守、株元英彰、野島健児、笠間淳、島﨑信長、山本匠馬、宮園拓夢、松浦義之、花江夏樹、鳥海浩輔、上村祐翔
621,Fate／stay night アンリミテッドブレイドワークス- フェイト/ステイナイトUNLIMITED BLADE WORKS  （アニメ映画）,75.9,1134,6631,3.9,3.8,4.1,3.9,3.8,4.0,アニメ映画,2010年1月23日,スタジオディーン,杉山紀彰、川澄綾子、植田佳奈、諏訪部順一、下屋則子、門脇舞以、伊藤美紀、神谷浩史、浅川悠、小山力也、田中敦子、中田和宏、西前忠久、中田譲治、三木眞一郎、神奈延年、関智一
622,空の境界 第一章 俯瞰風景[フカンフウケイ]（アニメ映画）,75.9,1073,6187,4.1,3.9,4.3,4.0,4.1,4.0,アニメ映画,2007年12月1日,ufotable,坂本真綾、鈴村健一、本田貴子、藤村歩、田中理恵
623,シリアルエクスペリメンツ・レイン[serial experiments lain]（TVアニメ動画）,75.9,822,3641,3.7,3.9,3.6,3.5,3.9,3.8,TVアニメ動画,1998年夏アニメ,,
624,寄宿学校のジュリエット（TVアニメ動画）,75.9,480,2312,3.6,3.5,3.6,3.8,3.5,3.8,TVアニメ動画,2018年秋アニメ,ライデンフィルム,小野友樹、茅野愛衣、佐倉綾音、嶋村侑、日高里菜、小倉唯、神谷浩史、杉田智和、細谷佳正、下野紘、立花慎之介、喜多村英梨、興津和幸、上坂すみれ
625,Re：ゼロから始める異世界生活 2nd season 後半クール（TVアニメ動画）,76.0,378,1362,3.8,3.7,3.8,3.8,3.7,3.7,TVアニメ動画,2021年冬アニメ,WHITE FOX,小林裕介、高橋李依、内山夕実、水瀬いのり、村川梨衣、新井里美、子安武人、岡本信彦、天﨑滉平、名塚佳織、高野麻里佳、田中あいみ、能登麻美子、坂本真綾
626,波よ聞いてくれ（TVアニメ動画）,75.9,360,1199,3.7,3.7,3.6,3.9,3.7,3.8,TVアニメ動画,2020年春アニメ,サンライズ,杉山里穂、藤真秀、石見舞菜香、山路和弘、大原さやか、石川界人、矢野正明、能登麻美子、島田敏、浪川大輔、内山昂輝
627,この世界の（さらにいくつもの）片隅に（アニメ映画）,75.9,49,422,4.1,4.3,4.1,4.1,4.0,4.1,アニメ映画,2019年12月20日,MAPPA,のん、細谷佳正、稲葉菜月、尾身美詞、小野大輔、潘めぐみ、岩井七世、牛山茂、新谷真弓、花澤香菜、澁谷天外
628,ローゼンメイデン（TVアニメ動画）,75.8,1118,6584,3.8,3.8,3.6,3.8,3.8,4.0,TVアニメ動画,2004年秋アニメ,ノーマッド,真田アサミ、沢城みゆき、野川さくら、田中理恵、力丸乃りこ、倉田雅世、桑谷夏子
629,機動戦士ガンダム00 2nd season[ダブルオー セカンドシーズン]（TVアニメ動画）,75.8,1094,5864,4.0,3.9,4.1,4.0,4.0,4.0,TVアニメ動画,2008年秋アニメ,www.gundam00.net/,
630,ハチミツとクローバー（TVアニメ動画）,75.8,579,3962,3.9,4.0,3.8,3.8,3.8,4.0,TVアニメ動画,2005年春アニメ,J.C.STAFF,神谷浩史、工藤晴香、うえだゆうじ、高橋美佳子、杉田智和、大原さやか、藤原啓治
631,サムライチャンプルー 2ndシーズン（TVアニメ動画）,75.8,592,3488,4.0,4.0,4.0,3.9,4.1,4.1,TVアニメ動画,2005年冬アニメ,マングローブ,中井和哉、川澄綾子、佐藤銀平
632,劇場版 魔法科高校の劣等生 星を呼ぶ少女（アニメ映画）,75.8,371,2779,3.8,3.6,3.9,3.8,3.6,3.8,アニメ映画,2017年6月17日,エイトビット,中村悠一、早見沙織、内山夕実、寺島拓篤、佐藤聡美、田丸篤志、雨宮天、巽悠衣子、花澤香菜、井上麻里奈、諏訪部順一、日笠陽子、小原好美
633,魔王学院の不適合者（TVアニメ動画）,75.9,507,1859,3.5,3.4,3.5,3.6,3.3,3.6,TVアニメ動画,2020年夏アニメ,SILVER LINK.,鈴木達央、楠木ともり、夏吉ゆうこ、松本忍、豊崎愛生、小清水亜美
634,ソマリと森の神様（TVアニメ動画）,75.8,344,1429,3.7,3.7,3.7,3.8,3.6,3.7,TVアニメ動画,2020年冬アニメ,サテライト,水瀬いのり、小野大輔、七海ひろき、鈴木達央、小野友樹、早見沙織、小林ゆう、速水奨、関智一、茅野愛衣、高垣彩陽、柴田理恵
635,ヴィンランド・サガ（TVアニメ動画）,75.8,329,1258,3.9,4.0,3.9,3.9,3.8,3.9,TVアニメ動画,2019年夏アニメ,WIT STUDIO,石上静香、上村祐翔、松田健一郎、内田直哉、小野賢章、大塚明夫、安元洋貴
636,みなみけ おかわり（TVアニメ動画）,75.7,1604,8906,3.6,3.5,3.2,3.9,3.4,3.8,TVアニメ動画,2008年冬アニメ,アスリード,佐藤利奈、井上麻里奈、茅原実里、水樹奈々、森永理科、柿原徹也、小野大輔、浅沼晋太郎、喜多村英梨、豊崎愛生、高木礼子、小野涼子、後藤沙緒里、高梁碧、大原桃子、千葉紗子
637,黒子のバスケ(第2期)（TVアニメ動画）,75.7,986,6169,3.9,3.9,3.9,3.9,3.8,4.0,TVアニメ動画,2013年秋アニメ,プロダクションI.G,小野賢章、小野友樹、斎藤千和、細谷佳正、野島裕史、浜田賢二、江口拓也、井上剛、三木眞一郎、木村良平、保志総一朗、小野大輔、鈴木達央、諏訪部順一、中井和哉、折笠富美子、鈴村健一、谷山紀章、神谷浩史、甲斐田ゆき、武田幸史、石川界人、須嵜成幸、嶋村侑
638,BLOOD+ ブラッドプラス（TVアニメ動画）,75.7,956,6154,3.8,3.9,3.8,3.7,3.9,3.8,TVアニメ動画,2005年秋アニメ,www.sonymusic.co.jp/Animation/blood-tv/index1.html,
639,ジョーカー・ゲーム（TVアニメ動画）,75.7,947,4781,3.6,3.7,3.7,3.7,3.5,3.5,TVアニメ動画,2016年春アニメ,プロダクションI.G,堀内賢雄、下野紘、木村良平、細谷佳正、森川智之、梶裕貴、福山潤、中井和哉、櫻井孝宏、津田健次郎、関智一
640,サクラダリセット（TVアニメ動画）,75.6,671,2956,3.6,3.6,3.5,3.7,3.5,3.5,TVアニメ動画,2017年春アニメ,デイヴィッドプロダクション,石川界人、花澤香菜、悠木碧、江口拓也、山田悠希、牧野由依、三澤紗千香、相坂優歌、西山宏太朗、逢田梨香子、井口祐一、大原さやか、上田燿司、久野美咲、中博史、喜山茂雄、小清水亜美、櫻井孝宏、内田真礼、河西健吾
641,魔女の旅々（TVアニメ動画）,75.7,537,1732,3.7,3.5,3.9,3.7,3.6,3.6,TVアニメ動画,2020年秋アニメ,C2C,本渡楓、花澤香菜、黒沢ともよ、日笠陽子
642,機動戦士ガンダムIII めぐりあい宇宙編（アニメ映画）,75.7,248,1665,4.0,4.1,3.7,4.0,3.9,4.1,アニメ映画,1982年3月13日,サンライズ,古谷徹、池田秀一、鈴置洋孝、鵜飼るみ子、白石冬美、井上瑤、古川登志夫、鈴木清信、戸田恵子、潘恵子、永井一郎
643,魔王城でおやすみ（TVアニメ動画）,75.7,317,1197,3.8,3.7,3.7,3.9,3.8,3.9,TVアニメ動画,2020年秋アニメ,動画工房,水瀬いのり、松岡禎丞、石川界人、小林親弘、下野紘、小山力也、高橋伸也、山根雅史、相馬康一、大原さやか、黒田崇矢、大塚剛央、大橋彩香、諏訪部順一、佐倉綾音
644, DEVILMAN crybaby[デビルマン クライベイビー]（Webアニメ）,75.7,291,960,3.9,4.1,3.9,3.9,3.9,3.9,Webアニメ,2018年1月5日,サイエンスSARU,内山昂輝、村瀬歩、潘めぐみ、小清水亜美、田中敦子、小山力也、津田健次郎、木村昴、KEN THE 390、YOUNG DAIS、般若、AFRA
645,アイドル天使ようこそようこ（TVアニメ動画）,75.7,11,80,4.1,4.0,3.5,4.3,4.3,4.2,TVアニメ動画,1990年春アニメ,葦プロダクション,かないみか、林原めぐみ、水谷優子、鈴木勝美、鈴置洋孝、島津冴子、大滝進矢、西村知道、松本保典、関俊彦、山口勝平
646,はぐれ勇者の鬼畜美学（TVアニメ動画）,75.6,1343,9334,3.4,3.3,3.4,3.5,3.3,3.5,TVアニメ動画,2012年夏アニメ,ARMS,岡本信彦、日笠陽子、植田佳奈、花澤香菜、井上麻里奈、佐藤利奈、櫻井孝宏、竹達彩奈、日野聡、阿部敦、石川英郎、寺島拓篤、小清水亜美、たかはし智秋
647,ハウルの動く城（アニメ映画）,75.7,1000,6358,3.8,3.7,4.1,3.5,3.8,3.7,アニメ映画,2004年11月20日,スタジオジブリ,倍賞千恵子、木村拓哉、美輪明宏、我修院達也、神木隆之介、伊崎充則、大泉洋、大塚明夫、原田大二郎、加藤治子
648,だがしかし（TVアニメ動画）,75.6,1238,6175,3.5,3.3,3.5,3.6,3.4,3.7,TVアニメ動画,2016年冬アニメ,feel.,竹達彩奈、阿部敦、沼倉愛美、鈴木達央、藤原啓治
649,傷物語Ⅱ 熱血篇（アニメ映画）,75.6,513,3427,4.0,3.9,4.2,4.1,3.7,4.0,アニメ映画,2016年8月19日,シャフト,神谷浩史、坂本真綾、堀江由衣、櫻井孝宏、入野自由、江原正士、大塚芳忠
650,Gungrave ガングレイヴ（TVアニメ動画）,75.6,418,3088,3.9,4.1,3.7,3.9,3.8,4.1,TVアニメ動画,2003年秋アニメ,マッドハウス,関智一、浜田賢二、磯部勉、佐久間紅美、茶風林、子安武人、大友龍三郎、立木文彦、井上喜久子
651,ぼくたちは勉強ができない（TVアニメ動画）,75.6,436,2013,3.6,3.5,3.5,3.6,3.5,3.7,TVアニメ動画,2019年春アニメ,シルバー / アルボアニメーション,逢坂良太、白石晴香、富田美憂、鈴代紗弓、Lynn、朝日奈丸佳
652,異世界かるてっと（TVアニメ動画）,75.6,458,1991,3.6,3.4,3.4,3.9,3.5,3.8,TVアニメ動画,2019年春アニメ,スタジオぷYUKAI,日野聡、原由実、上坂すみれ、加藤英美里、内山夕実、加藤将之、三宅健太、福島潤、雨宮天、高橋李依、茅野愛衣、小林裕介、水瀬いのり、村川梨衣、新井里美、子安武人、悠木碧、早見沙織、濱野大輝、笠間淳、林大地、三木眞一郎、玄田哲章、大塚芳忠
653,空の境界 第七章 殺人考察（後）（アニメ映画）,75.5,707,4249,4.1,4.1,4.3,4.0,4.1,4.1,アニメ映画,2009年8月8日,ufotable,坂本真綾、鈴村健一、本田貴子、藤村歩、中田譲治、保志総一朗
654,イノセンス -INNOCENCE（アニメ映画）,75.5,726,4063,4.1,3.8,4.4,4.1,4.1,4.0,アニメ映画,2004年3月6日,ja.wikipedia.org/wiki/%E3%82%A4%E3%83%8E%E3%82%BB%E3%83%B3%E3%82%B9,
655,名探偵コナン（TVアニメ動画）,75.5,712,3919,3.8,3.9,3.7,3.9,3.9,3.9,TVアニメ動画,1996年冬アニメ,東京ムービー,高山みなみ、小山力也、山崎和佳奈、山口勝平、緒方賢一、高木渉、大谷育江、岩居由希子、林原めぐみ、茶風林、湯屋敦子、井上和彦、千葉一伸、堀川りょう、宮村優子、松井菜桜子、田中秀幸、島本須美、高島雅羅、堀之紀、立木文彦
656,夏目友人帳 伍（TVアニメ動画）,75.5,624,3322,3.9,3.9,3.8,3.9,3.8,3.9,TVアニメ動画,2016年秋アニメ,朱夏,神谷浩史、井上和彦、小林沙苗、石田彰、堀江一眞、沢城みゆき、佐藤利奈、木村良平、菅沼久義、伊藤美紀、伊藤栄次、諏訪部順一
657,バカとテストと召喚獣 ～祭～（OVA）,75.4,1002,6385,3.8,3.8,3.8,3.9,3.6,4.1,OVA,2011年2月2日,,
658,闘牌伝説アカギ 闇に舞い降りた天才（TVアニメ動画）,75.4,784,4004,3.8,4.1,3.5,3.8,3.6,4.1,TVアニメ動画,2005年秋アニメ,マッドハウス,萩原聖人、小山力也、玄田哲章、中田浩二、高木渉、田中秀幸、風間杜夫、古谷徹
659,ソードアート・オンライン アリシゼーション War of Underworld（TVアニメ動画）,75.4,486,2409,3.7,3.5,3.9,3.8,3.7,3.7,TVアニメ動画,2019年秋アニメ,A-1 Pictures,松岡禎丞、戸松遥、茅野愛衣
660,イエスタデイをうたって（TVアニメ動画）,75.4,443,1438,3.7,3.6,3.8,3.8,3.6,3.6,TVアニメ動画,2020年春アニメ,動画工房,小林親弘、宮本侑芽、花澤香菜、花江夏樹、鈴木達央、坂本真綾、寺島拓篤、洲崎綾、名塚佳織、堀江瞬、小野友樹、喜多村英梨、前川涼子、遠藤大智、大塚明夫、小形満、川島得愛、小林千晃、田中宏樹、西山宏太朗、藤原夏海、本田貴子、諸星すみれ、天海由梨奈、村井美里
661,BEASTARS（TVアニメ動画）,75.4,285,1214,3.8,3.8,3.9,3.8,3.7,3.8,TVアニメ動画,2019年秋アニメ,オレンジ,小林親弘、千本木彩花、小野友樹、種﨑敦美、榎木淳弥、内田雄馬、大塚剛央、小林直人、下妻由幸、岡本信彦、落合福嗣、虎島貴明、渡部紗弓、室元気、井口祐一、原優子、兼政郁人、大内茜、山村響、あんどうさくら、大塚明夫、星野充昭、堀内賢雄
662,アニメーション映画『音楽』（アニメ映画）,75.4,12,87,4.0,4.1,4.0,3.9,4.3,3.9,アニメ映画,2020年1月16日,on-gaku.info,坂本慎太郎、駒井蓮、前野朋哉、芹澤興人、平岩紙、竹中直人
663,るーみっく・わーるど１　炎〈ファイアー〉トリッパー（OVA）,75.4,10,52,3.9,4.3,3.7,4.1,3.6,4.1,OVA,1986年3月21日,,
664,ぼくの名前はズッキーニ（アニメ映画）,75.4,12,45,4.0,4.1,4.0,3.9,4.0,4.2,アニメ映画,2018年2月10日,,
665,荒川アンダー ザ ブリッジ×ブリッジ [第2期]（TVアニメ動画）,75.3,1259,7494,3.8,3.7,3.7,4.0,3.6,4.1,TVアニメ動画,2010年秋アニメ,シャフト,坂本真綾、神谷浩史、藤原啓治、杉田智和、子安武人、沢城みゆき、斎藤千和、大塚芳忠、小見川千明、三瓶由布子、新谷良子、小山力也、チョー、田中理恵、中村悠一、立木文彦、後藤邑子、小林ゆう、関智一
666,マギ The Kingdom of magic (2期)（TVアニメ動画）,75.3,890,5660,3.9,3.9,3.8,3.9,3.7,4.0,TVアニメ動画,2013年秋アニメ,A-1 Pictures,石原夏織、梶裕貴、戸松遥、小野大輔、木村良平、櫻井孝宏、細谷佳正、森久保祥太郎、堀江由衣、大久保瑠美、羽多野渉、杉田智和、藤原啓治、水樹奈々、瀬戸麻沙美、花澤香菜、小野賢章、福山潤、森川智之、松岡禎丞、逢坂良太、井上喜久子、チョー、柿原徹也、日野聡、坂本真綾、阿澄佳奈、高垣彩陽、谷山紀章、宮野真守
667,ジョジョの奇妙な冒険　スターダストクルセイダース（TVアニメ動画）,75.4,962,5338,4.0,4.0,3.9,4.0,3.8,4.1,TVアニメ動画,2014年春アニメ,デイヴィッドプロダクション,小野大輔、石塚運昇、三宅健太、平川大輔、小松史法、子安武人
668,HUNTER×HUNTER　ヨークシンシティ完結編（OVA）,75.3,354,2403,4.0,4.2,3.8,3.9,3.8,4.2,OVA,2002年1月17日,,
669,恋する小惑星（TVアニメ動画）,75.3,367,1343,3.7,3.5,3.8,3.7,3.7,3.6,TVアニメ動画,2020年冬アニメ,動画工房,高柳知葉、山口愛、指出毬亜、東山奈央、上坂すみれ
670,GREAT PRETENDER（TVアニメ動画）,75.1,289,1126,3.8,3.8,3.9,3.8,3.8,3.8,TVアニメ動画,2020年夏アニメ,WIT STUDIO,小林千晃、諏訪部順一、藤原夏海、園崎未恵
671,劇場版 少女☆歌劇 レヴュースタァライト（アニメ映画）,75.3,13,38,4.2,3.7,4.5,4.1,4.3,4.3,アニメ映画,2021年5月21日,キネマシトラス,小山百代、三森すずこ、富田麻帆、佐藤日向、岩田陽葵、小泉萌香、相羽あいな、生田輝、伊藤彩沙
672,境界線上のホライゾン（TVアニメ動画）,75.2,1407,8400,3.7,3.5,3.8,3.8,3.7,3.8,TVアニメ動画,2011年秋アニメ,サンライズ,福山潤、茅原実里、沢城みゆき、田村睦心、子安武人、名塚佳織、小野大輔、黒田崇矢、東山奈央、新田恵海、井上麻里奈、真堂圭、斎藤千和、小清水亜美、悠木碧、大橋歩夕、平川大輔、森永理科、又吉愛
673,ソ・ラ・ノ・ヲ・ト（TVアニメ動画）,75.2,1189,6573,3.7,3.6,3.8,3.7,3.9,3.7,TVアニメ動画,2010年冬アニメ,A-1 Pictures,金元寿子、小林ゆう、喜多村英梨、悠木碧、遠藤綾、福圓美里、石塚運昇、八十川真由野
674,ハヤテのごとく！！ 第2期（TVアニメ動画）,75.2,902,6142,3.9,3.8,3.7,4.0,3.7,4.1,TVアニメ動画,2009年春アニメ,J.C.STAFF,白石涼子、釘宮理恵、田中理恵、伊藤静、生天目仁美、松来未祐、井上麻里奈、中島沙樹、矢作紗友里、中尾衣里、浅野真澄、高橋美佳子、植田佳奈、堀江由衣
675,モノノ怪（TVアニメ動画）,75.3,813,4246,4.0,4.0,4.3,4.0,3.8,4.0,TVアニメ動画,2007年夏アニメ,東映アニメーション,櫻井孝宏、田中理恵、藤田淑子、塩屋浩三、竹本英史、沼田祐介、日比愛子
676,のだめカンタービレ（TVアニメ動画）,75.2,688,4119,4.0,4.1,3.6,3.9,4.2,4.1,TVアニメ動画,2007年冬アニメ,J.C.STAFF,川澄綾子、関智一、小川真司、川田紳司、織田圭祐、生天目仁美、松風雅也、小林沙苗、中井和哉、諏訪部順一、能登麻美子
677,ソルティレイ Solty Rei（TVアニメ動画）,75.2,719,4114,3.8,4.0,3.6,3.8,3.9,3.9,TVアニメ動画,2005年秋アニメ,www.solty.net/,
678,キノの旅（TVアニメ動画）,75.2,602,3842,3.7,4.0,3.5,3.5,3.6,3.8,TVアニメ動画,2003年春アニメ,www.kinonotabi.com/,
679,徒然チルドレン（TVアニメ動画）,75.2,513,2419,3.6,3.7,3.5,3.8,3.5,3.8,TVアニメ動画,2017年夏アニメ,Studio五組,石川界人、水瀬いのり、前野智昭、小倉唯、小野賢章、佐倉綾音、熊谷健太郎、三宅晴佳、花澤香菜、天崎滉平、戸松遥、浪川大輔
680,君の膵臓をたべたい（アニメ映画）,75.2,242,1222,3.8,3.8,4.1,3.7,3.8,3.8,アニメ映画,2018年9月1日,studio VOLN,高杉真宙、Lynn、藤井ゆきよ、内田雄馬、福島潤、田中敦子、三木眞一郎、和久井映見
681,PSYCHO-PASS サイコパス ３ FIRST INSPECTOR（アニメ映画）,75.4,161,979,3.9,3.8,4.0,4.0,3.8,3.9,アニメ映画,2020年3月27日,プロダクションI.G,梶裕貴、中村悠一、櫻井孝宏、大塚明夫、諏訪部順一、名塚佳織、沢城みゆき、佐倉綾音、日髙のり子、宮野真守、中博史、日笠陽子、森川智之、堀内賢雄、矢作紗友里、関智一、野島健児、東地宏樹、伊藤静、本田貴子、花澤香菜
682,銀河鉄道999-The Galaxy Express 999（アニメ映画）,75.2,158,866,4.1,4.1,3.9,4.1,4.1,4.1,アニメ映画,1979年8月1日,東映アニメーション,野沢雅子、池田昌子、一龍斎春水、肝付兼太、井上真樹夫、田島令子、富山敬、小原乃梨子、柴田秀勝、藤田淑子、槐柳二、坪井章子、納谷悟朗
683,わんわん物語（アニメ映画）,75.2,14,76,4.0,4.0,4.0,4.0,4.0,4.2,アニメ映画,1956年8月10日,,
684,映画 HUGっと！プリキュア♡ふたりはプリキュア オールスターズメモリーズ（アニメ映画）,75.2,14,54,4.1,4.1,4.0,4.2,4.0,4.2,アニメ映画,2018年10月27日,東映アニメーション,引坂理絵、本泉莉奈、小倉唯、田村奈央、田村ゆかり、本名陽子、ゆかな、宮野真守、山本美月
